2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:21		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:21		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:21		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:21		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:21		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:21		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:22		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:22		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:22		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:22		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:22		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:22		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:22		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:22		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:23		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:23		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:23		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:23		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:23		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:24		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:24		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:24		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:24		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:24		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:24		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:24		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:25		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:26		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:27		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:28		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:28		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:28		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:28		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:28		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:28		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:29		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:30		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:30		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:30		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:30		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:31		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
2020-12-21/12:02:32		 wafer_20022020_090716.csv: File loaded successfully!!
